Year,US $
1970,1393544516
1971,2351384765
1972,199028471.5
1973,-4007070064
1974,-9350668537
1975,-3438900442
1976,-1884327044
1977,2714946799
1978,5467091083
1979,2950006353
1980,14017848013
1981,16845269293
1982,11285466457
1983,6136077005
1984,1166687949
1985,6959366016
1986,-1912777778
1987,-4902216048
1988,-27468694415
1989,-31454960733
1990,-17379332386
1991,-1420876543
1992,-5409350649
1993,-892751949.6
1994,3076426385
1995,7601388670
1996,6794071763
1997,8813032089
1998,-7891685989
1999,-17228603786
2000,-20021183235
2001,-28497193033
2002,-42123800959
2003,-43688163265
2004,-55867813988
2005,-54365454545
2006,-51194112236
2007,-59993997599
2008,-49409926471
2009,-29950147998
2010,-38755872189
2011,-21049736290
2012,-26768944957
2013,-39552226424
2014,-59528116452
2015,-44259720573
2016,-50977914006
2017,-35939390766
2018,-39694142046
2019,-39793470661
2020,15060264583
2021,-7040636517
2022,-54375578332
2023,-18713824619
